Country,League,team
france,F1,Nantes
france,F1,Sochaux
france,F1,St Etienne
france,F1,Strasbourg
france,F1,Toulouse
france,F1,Marseille
france,F1,Lille
france,F1,Caen
france,F1,Bordeaux
france,F1,Montpellier
france,F1,Paris SG
france,F1,Monaco
france,F1,Metz
france,F1,Lyon
france,F1,Lens
france,F1,Martigues
france,F1,Auxerre
france,F1,Le Havre
france,F1,Cannes
france,F1,Angers
netherlands,N1,NAC Breda
netherlands,N1,Heerenveen
netherlands,N1,Go Ahead Eagles
netherlands,N1,Willem II
netherlands,N1,Ajax
netherlands,N1,Feyenoord
netherlands,N1,Groningen
netherlands,N1,Twente
netherlands,N1,Volendam
netherlands,N1,Cambuur
netherlands,N1,PSV Eindhoven
netherlands,N1,Waalwijk
netherlands,N1,Utrecht
netherlands,N1,Sparta
netherlands,N1,Roda JC
netherlands,N1,MVV Maastricht
netherlands,N1,VVV Venlo
netherlands,N1,Vitesse
spain,SP1,Osasuna
spain,SP1,Barcelona
spain,SP1,Ath Madrid
spain,SP1,Ath Bilbao
spain,SP1,Santander
spain,SP1,Tenerife
spain,SP1,Oviedo
spain,SP1,La Coruna
spain,SP1,Zaragoza
spain,SP1,Valladolid
spain,SP1,Vallecano
spain,SP1,Valencia
spain,SP1,Sp Gijon
spain,SP1,Sociedad
spain,SP1,Sevilla
spain,SP1,Real Madrid
spain,SP1,Logrones
spain,SP1,Celta
spain,SP1,Albacete
spain,SP1,Lerida
turkey,T1,Zeytinburnu
turkey,T1,Ad. Demirspor
turkey,T1,Ankaragucu
turkey,T1,Bursaspor
turkey,T1,Vanspor
turkey,T1,Galatasaray
turkey,T1,Kocaelispor
turkey,T1,Trabzonspor
turkey,T1,Denizlispor
turkey,T1,Fenerbahce
turkey,T1,P. Ofisi
turkey,T1,Genclerbirligi
turkey,T1,Kayseri
turkey,T1,Gaziantepspor
turkey,T1,Besiktas
turkey,T1,Antalya
turkey,T1,Altay
turkey,T1,Samsunspor
greece,G1,Xanthi
greece,G1,Larisa
greece,G1,Iraklis
greece,G1,Ethnikos
greece,G1,Edessaikos
greece,G1,Doxa
greece,G1,Apollon
greece,G1,AEK
greece,G1,PAOK
greece,G1,Panionios
greece,G1,Ionikos
greece,G1,Athinaikos
greece,G1,Kavala
greece,G1,Panathinaikos
greece,G1,OFI
greece,G1,Aris
greece,G1,Olympiakos
greece,G1,Levadiakos
belgium,B1,Aalst
belgium,B1,Standard
belgium,B1,St Truiden
belgium,B1,Waregem
belgium,B1,Lierse
belgium,B1,Charleroi
belgium,B1,Cercle Brugge
belgium,B1,Molenbeek
belgium,B1,Germinal
belgium,B1,Club Brugge
belgium,B1,Beveren
belgium,B1,Gent
belgium,B1,Lommel
belgium,B1,Mechelen
belgium,B1,Seraing
belgium,B1,Anderlecht
belgium,B1,Antwerp
belgium,B1,Harelbeke
france,F2,Red Star 93
france,F2,Valence
france,F2,Toulouse
france,F2,St Brieuc
france,F2,Sochaux
france,F2,Mulhouse
france,F2,Amiens
france,F2,Le Mans
france,F2,Charleville
france,F2,Louhans-Cuis.
france,F2,Troyes
france,F2,Perpignan
france,F2,Martigues
france,F2,St Etienne
france,F2,Toulon
france,F2,Niort
france,F2,Lorient
france,F2,Epinal
france,F2,Gueugnon
france,F2,Chateauroux
france,F2,Beauvais
france,F2,Laval
spain,SP2,Leganes
spain,SP2,Almeria
spain,SP2,Lleida
spain,SP2,Levante
spain,SP2,Eibar
spain,SP2,Mallorca
spain,SP2,Merida
spain,SP2,Real Madrid B
spain,SP2,Toledo
spain,SP2,Alaves
spain,SP2,Barcelona B
spain,SP2,Salamanca
spain,SP2,Ath Madrid B
spain,SP2,Albacete
spain,SP2,Badajoz
spain,SP2,Ecija
spain,SP2,Las Palmas
spain,SP2,Orense
spain,SP2,Osasuna
spain,SP2,Villarreal
germany,D1,Leverkusen
germany,D1,Stuttgart
germany,D1,Munich 1860
germany,D1,M'gladbach
germany,D1,Cottbus
germany,D1,Freiburg
germany,D1,Dortmund
germany,D1,St Pauli
germany,D1,Wolfsburg
germany,D1,Bayern Munich
germany,D1,FC Koln
germany,D1,Hamburg
germany,D1,Hansa Rostock
germany,D1,Hertha
germany,D1,Werder Bremen
germany,D1,Kaiserslautern
germany,D1,Nurnberg
germany,D1,Schalke 04
england,EC,Barrow
england,E1,Derby
england,E2,Hartlepool
england,E2,Huddersfield
england,E1,Ipswich
england,E2,Leyton Orient
england,E2,Northampton
england,E2,Oldham
england,E2,Southend
england,E2,Swindon
england,EC,Wrexham
england,EC,Woking
england,EC,Weymouth
england,EC,Salisbury
england,EC,Northwich
england,EC,Kidderminster
england,EC,Kettering Town
england,EC,Histon
england,EC,Ebbsfleet
england,EC,Eastbourne Borough
england,EC,Crawley Town
england,E2,Crewe
england,E2,Bristol Rvs
england,E2,Leicester
england,E2,Scunthorpe
england,E3,Rotherham
england,E3,Shrewsbury
england,E3,Wycombe
england,E1,Birmingham
england,E1,Sheffield Weds
england,E1,Blackpool
england,E1,Cardiff
england,E1,Charlton
england,E1,Coventry
england,E3,Grimsby
england,E1,Crystal Palace
england,E3,Dag and Red
england,E3,Bury
england,E3,Bradford
england,E3,Bournemouth
england,E3,Barnet
england,E3,Accrington
england,E1,Plymouth
england,E1,QPR
england,E2,Yeovil
england,E3,Darlington
england,E3,Luton
england,E1,Nott'm Forest
england,EC,Burton
england,EC,Cambridge
england,EC,Forest Green
england,EC,Lewes
england,EC,Oxford
england,EC,Rushden & D
england,EC,Stevenage
england,EC,Torquay
england,EC,Altrincham
england,EC,Grays
england,EC,Mansfield
england,EC,York
england,E0,West Ham
england,E2,Carlisle
england,E3,Rochdale
england,E3,Port Vale
england,E3,Notts County
england,E3,Morecambe
england,E3,Macclesfield
england,E3,Lincoln
england,E3,Gillingham
england,E3,Exeter
england,E3,Chesterfield
england,E3,Chester
england,E3,Brentford
england,E3,Aldershot
england,E0,Sunderland
england,E0,Bolton
england,E0,Everton
england,E2,Cheltenham
england,E2,Colchester
england,E2,Hereford
england,E2,Leeds
england,E2,Millwall
england,E2,Milton Keynes Dons
england,E2,Peterboro
england,E2,Stockport
england,E2,Tranmere
england,E2,Walsall
england,E1,Wolves
england,E1,Watford
england,E1,Swansea
england,E1,Southampton
england,E1,Sheffield United
england,E1,Reading
england,E1,Preston
england,E1,Norwich
england,E1,Doncaster
england,E1,Burnley
england,E1,Bristol City
england,E1,Barnsley
england,E0,Arsenal
england,E0,Hull
england,E0,Middlesbrough
england,E2,Brighton
england,E0,Man United
england,E0,Chelsea
england,E0,Aston Villa
england,E0,Blackburn
england,E0,Fulham
england,E0,Liverpool
england,E0,Newcastle
england,E0,Stoke
england,E0,Tottenham
england,E0,West Brom
england,E0,Man City
england,E0,Wigan
england,E0,Portsmouth
england,E1,Middlesbrough
england,E1,Leicester
england,E2,Southampton
england,E2,Norwich
england,E2,Gillingham
england,E2,Charlton
england,E1,West Brom
england,E3,Crewe
england,E3,Cheltenham
england,EC,AFC Wimbledon
england,EC,Gateshead
england,E3,Torquay
england,E3,Northampton
england,EC,Luton
england,EC,Hayes & Yeading
england,E0,Wolves
england,E2,Brentford
england,E2,Exeter
england,E3,Burton
england,E3,Hereford
england,E2,Wycombe
england,E1,Newcastle
england,E1,Scunthorpe
england,E1,Peterboro
england,EC,Tamworth
england,E0,Birmingham
england,E0,Burnley
england,E2,Notts County
england,E2,Sheffield Weds
england,E2,Rochdale
england,E1,Leeds
england,E1,Hull
england,E3,Stevenage
england,E3,Southend
england,E3,Stockport
england,E3,Oxford
england,EC,Southport
england,E2,Bournemouth
england,E1,Portsmouth
england,E1,Millwall
england,E2,Plymouth
england,EC,Darlington
england,EC,Fleetwood Town
england,EC,Bath City
england,EC,Newport County
england,EC,Grimsby
